"year","county_id","county_name","income_group","mean_hh_income","absolute_change","change_rate","change_rate_gap_from_5th_quintile"
2007,"34005",Burlington,"3rd Quintile",108730,6304,0.062,0.054
2007,"34005",Burlington,"2nd Quintile",69911,3838,0.058,0.058
2007,"34005",Burlington,"1st Quintile",30680,1899,0.066,0.050
2006,"34005",Burlington,Top 5 Percent,413699,0,0.000,0.000
2006,"34005",Burlington,All,103459,0,0.000,0.000
2006,"34005",Burlington,"5th Quintile",266418,0,0.000,0.000
2006,"34005",Burlington,"4th Quintile",147505,0,0.000,0.000
2006,"34005",Burlington,"3rd Quintile",102426,0,0.000,0.000
2006,"34005",Burlington,"2nd Quintile",66073,0,0.000,0.000
2006,"34005",Burlington,"1st Quintile",28781,0,0.000,0.000
2017,"34005",Burlington,Top 5 Percent,531089,117390,0.284,-0.096
2017,"34005",Burlington,All,109330,5871,0.057,0.131
2017,"34005",Burlington,"5th Quintile",316635,50217,0.188,0.000
2017,"34005",Burlington,"4th Quintile",158167,10662,0.072,0.116
2017,"34005",Burlington,"3rd Quintile",108638,6212,0.061,0.127
2017,"34005",Burlington,"2nd Quintile",68123,2050,0.031,0.157
2017,"34005",Burlington,"1st Quintile",27565,-1216,-0.042,0.230
2016,"34005",Burlington,Top 5 Percent,546944,133245,0.322,-0.115
2016,"34005",Burlington,All,102206,-1253,-0.012,0.219
2016,"34005",Burlington,"5th Quintile",321657,55239,0.207,0.000
2016,"34005",Burlington,"4th Quintile",154591,7086,0.048,0.159
2016,"34005",Burlington,"3rd Quintile",101930,-496,-0.005,0.212
2016,"34005",Burlington,"2nd Quintile",65341,-732,-0.011,0.218
2016,"34005",Burlington,"1st Quintile",27712,-1069,-0.037,0.244
2015,"34005",Burlington,Top 5 Percent,490912,77213,0.187,-0.086
2015,"34005",Burlington,All,96490,-6969,-0.067,0.168
2015,"34005",Burlington,"5th Quintile",293450,27032,0.101,0.000
2015,"34005",Burlington,"4th Quintile",145266,-2239,-0.015,0.116
2015,"34005",Burlington,"3rd Quintile",96024,-6402,-0.063,0.164
