X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8367578.436,4864376.319,4541,3314924N,Bus,33,Northbound,14924,21st St & Dauphin St,39.989223,-75.167236,Fall 2023,48,78,25,43,20,40
-8357894.642,4872465.1,4542,2615862W,Bus,26,Westbound,15862,Magee Av & Summerdale Av,40.044872,-75.080245,Fall 2023,27,16,15,3,5,4
-8367618.288,4864151.842,4543,333101N,Bus,33,Northbound,3101,21st St & Susquehanna Av,39.987678,-75.167594,Fall 2023,64,88,32,43,27,26
-8362910.698,4871149.347,4544,2616959W,Bus,26,Westbound,16959,Olney Av & 2nd St,40.035823,-75.125305,Fall 2023,43,19,17,10,20,5
-8367423.034,4866402.365,4545,33597N,Bus,33,Northbound,597,22nd St & Allegheny Av,40.003166,-75.16584,Fall 2023,84,208,54,114,31,90
-8363272.487,4871210.412,4546,2616961W,Bus,26,Westbound,16961,Olney Av & 4th St,40.036243,-75.128555,Fall 2023,40,19,12,7,13,4
-8367533.351,4865741.598,4547,333109N,Bus,33,Northbound,3109,22nd St & Cambria St,39.998619,-75.166831,Fall 2023,75,159,51,103,25,63
-8363476.313,4871245.888,4548,2616962W,Bus,26,Westbound,16962,Olney Av & 5th St,40.036487,-75.130386,Fall 2023,274,170,122,69,88,46
-8367462.107,4866170.576,4549,333116N,Bus,33,Northbound,3116,22nd St & Clearfield St,40.001571,-75.166191,Fall 2023,26,52,10,36,12,26
-8367648.011,4865063.004,4550,333131N,Bus,33,Northbound,3131,22nd St & Huntingdon St,39.993949,-75.167861,Fall 2023,13,58,9,28,8,26
-8367498.62,4865955.503,4551,333133N,Bus,33,Northbound,3133,22nd St & Indiana Av,40.000091,-75.166519,Fall 2023,78,139,53,90,32,59
-8363699.62,4871281.946,4552,2616963W,Bus,26,Westbound,16963,Olney Av & 6th St,40.036735,-75.132392,Fall 2023,31,18,10,9,5,5
-8367610.719,4865287.501,4553,33596N,Bus,33,Northbound,596,22nd St & Lehigh Av,39.995494,-75.167526,Fall 2023,189,317,79,152,58,124
-8363883.965,4871312.48,4554,2616964W,Bus,26,Westbound,16964,Olney Av & 7th St,40.036945,-75.134048,Fall 2023,45,7,15,9,13,3
-8367350.008,4866851.426,4555,333148N,Bus,33,Northbound,3148,22nd St & Ontario St,40.006256,-75.165184,Fall 2023,4,48,5,31,2,24
-8364295.067,4871402.916,4556,2616966W,Bus,26,Westbound,16966,Olney Av & 10th St,40.037567,-75.137741,Fall 2023,9,29,6,11,9,10
-8367684.635,4864850.28,4557,333160N,Bus,33,Northbound,3160,22nd St & Sedgley Av,39.992485,-75.16819,Fall 2023,17,53,8,36,10,30
-8364480.192,4871455.55,4558,2615907W,Bus,26,Westbound,15907,Olney Av & 11th St,40.037929,-75.139404,Fall 2023,44,27,15,14,17,9
-8367571.645,4865522.612,4559,333163N,Bus,33,Northbound,3163,22nd St & Somerset St,39.997112,-75.167175,Fall 2023,91,150,48,104,47,69
-8364653.405,4871506.585,4560,2615908W,Bus,26,Westbound,15908,Olney Av & 12th St,40.03828,-75.14096,Fall 2023,11,12,3,2,4,9
-8367313.384,4867068.116,4561,333170N,Bus,33,Northbound,3170,22nd St & Tioga St,40.007747,-75.164855,Fall 2023,6,74,0,51,2,46
-8364824.169,4871556.457,4562,26381W,Bus,26,Westbound,381,Olney Av & 13th St,40.038623,-75.142494,Fall 2023,28,31,5,12,4,8
-8367305.814,4867310.391,4563,3330808N,Bus,33,Northbound,30808,22nd St & Venango St - FS,40.009414,-75.164787,Fall 2023,8,137,9,98,14,69
-8365271.673,4871627.558,4564,2615911W,Bus,26,Westbound,15911,Olney Av & 15th St,40.039112,-75.146514,Fall 2023,44,30,9,12,11,11
-8365489.971,4871620.288,4565,2615912W,Bus,26,Westbound,15912,Olney Av & 16th St,40.039062,-75.148475,Fall 2023,15,21,6,4,2,3
-8365907.864,4871651.84,4566,2615914W,Bus,26,Westbound,15914,Olney Av & 18th St - FS,40.039279,-75.152229,Fall 2023,22,35,4,8,8,6
-8367388.191,4866631.834,4567,332847N,Bus,33,Northbound,2847,22nd St & Westmoreland St,40.004745,-75.165527,Fall 2023,17,52,3,17,6,15
-8366343.569,4871817.743,4568,2615916W,Bus,26,Westbound,15916,Olney Av & 20st St - MBFS,40.04042,-75.156143,Fall 2023,3,17,0,11,2,5
-8367447.635,4867368.09,4569,3313905N,Bus,33,Northbound,13905,23rd St & Venango St Loop,40.009811,-75.166061,Fall 2023,0,645,0,345,0,267
-8366143.973,4871691.243,4570,2615915W,Bus,26,Westbound,15915,Olney Av & 20th St,40.03955,-75.15435,Fall 2023,22,34,7,9,6,11
-8367606.488,4862063.648,4571,3314918N,Bus,33,Northbound,14918,College Av & Ridge Av,39.973304,-75.167488,Fall 2023,51,65,32,18,17,15
-8363084.802,4871179.879,4572,2616960W,Bus,26,Westbound,16960,Olney Av & American St - FS,40.036033,-75.126869,Fall 2023,8,5,1,0,2,0
-8367439.954,4863906.884,4573,3314922N,Bus,33,Northbound,14922,Diamond St & 20th St,39.985992,-75.165992,Fall 2023,19,55,10,36,6,25
-8361805.741,4870969.642,4574,2615896W,Bus,26,Westbound,15896,Olney Av & Arbor St,40.034587,-75.115379,Fall 2023,58,34,14,13,14,3
-8367649.792,4863944.513,4575,336770N,Bus,33,Northbound,6770,Diamond St & 21st St,39.986251,-75.167877,Fall 2023,106,239,50,115,33,84
-8362039.289,4871006.28,4576,2616739W,Bus,26,Westbound,16739,Olney Av & B St,40.034839,-75.117477,Fall 2023,55,21,8,3,6,1
-8364804.577,4858644.804,4577,3369N,Bus,33,Northbound,69,Front St & Market St Loop,39.949764,-75.142318,Fall 2023,6,0,4,0,3,0
-8365033.116,4871618.107,4578,2615910W,Bus,26,Westbound,15910,Olney Av & Broad St,40.039047,-75.144371,Fall 2023,767,822,267,318,241,264
-8367302.364,4859209.253,4579,3317842N,Bus,33,Northbound,17842,JFK Blvd & 15th St,39.953651,-75.164756,Fall 2023,619,230,346,104,273,87
-8366507.431,4871925.924,4580,2615917W,Bus,26,Westbound,15917,Olney Av & Chew Av,40.041164,-75.157615,Fall 2023,11,42,7,10,2,14
-8367669.273,4859268.503,4581,338936N,Bus,33,Northbound,8936,JFK Blvd & 17th St,39.954059,-75.168052,Fall 2023,254,101,121,42,94,32
-8361585.774,4870697.328,4582,2615895W,Bus,26,Westbound,15895,Olney Av & Clarkson Av,40.032714,-75.113403,Fall 2023,3,10,2,3,0,2
-8367838.256,4859296.24,4583,338938N,Bus,33,Northbound,8938,JFK Blvd & 18th St,39.95425,-75.16957,Fall 2023,113,49,64,24,56,21
-8362466.534,4871077.813,4584,2615898W,Bus,26,Westbound,15898,Olney Av & Front St,40.035331,-75.121315,Fall 2023,119,50,49,20,43,16
-8368020.931,4859326.736,4585,338939N,Bus,33,Northbound,8939,JFK Blvd & 19th St,39.95446,-75.171211,Fall 2023,165,58,86,43,54,20
-8362731.474,4871121.722,4586,2615899W,Bus,26,Westbound,15899,Olney Av & Mascher St,40.035633,-75.123695,Fall 2023,55,30,29,9,17,4
-8368196.704,4859351.569,4587,338941N,Bus,33,Northbound,8941,JFK Blvd & 20th St,39.954631,-75.17279,Fall 2023,97,37,38,20,37,18
